×Ö·û----GB-------Unicode------UTF-8
¥¼     bca5      30bc        e3-82-bc 
¥½     bda5      30bd        e3-82-bd 
¥¾     bea5      30be        e3-82-be 
¥¿     bfa5      30bf        e3-82-bf 
¥À     c0a5      30c0        e3-83-80 
¥Á     c1a5      30c1        e3-83-81 
¥Â     c2a5      30c2        e3-83-82 
¥Ã     c3a5      30c3        e3-83-83 
¥Ä     c4a5      30c4        e3-83-84 
¥Å     c5a5      30c5        e3-83-85 
¥Æ     c6a5      30c6        e3-83-86 
¥Ç     c7a5      30c7        e3-83-87 
¥È     c8a5      30c8        e3-83-88 
¥É     c9a5      30c9        e3-83-89 
¥Ê     caa5      30ca        e3-83-8a 
¥Ë     cba5      30cb        e3-83-8b 
¥Ì     cca5      30cc        e3-83-8c 
¥Í     cda5      30cd        e3-83-8d 
¥Î     cea5      30ce        e3-83-8e 
¥Ï     cfa5      30cf        e3-83-8f 
¥Ð     d0a5      30d0        e3-83-90 
¥Ñ     d1a5      30d1        e3-83-91 
¥Ò     d2a5      30d2        e3-83-92 
¥Ó     d3a5      30d3        e3-83-93 
¥Ô     d4a5      30d4        e3-83-94 
¥Õ     d5a5      30d5        e3-83-95 
¥Ö     d6a5      30d6        e3-83-96 
¥×     d7a5      30d7        e3-83-97 
¥Ø     d8a5      30d8        e3-83-98 
¥Ù     d9a5      30d9        e3-83-99 
¥Ú     daa5      30da        e3-83-9a 
¥Û     dba5      30db        e3-83-9b 
¥Ü     dca5      30dc        e3-83-9c 
¥Ý     dda5      30dd        e3-83-9d 
¥Þ     dea5      30de        e3-83-9e 
¥ß     dfa5      30df        e3-83-9f 
¥à     e0a5      30e0        e3-83-a0 
¥á     e1a5      30e1        e3-83-a1 
¥â     e2a5      30e2        e3-83-a2 
¥ã     e3a5      30e3        e3-83-a3 
¥ä     e4a5      30e4        e3-83-a4 
¥å     e5a5      30e5        e3-83-a5 
¥æ     e6a5      30e6        e3-83-a6 
¥ç     e7a5      30e7        e3-83-a7 
¥è     e8a5      30e8        e3-83-a8 
¥é     e9a5      30e9        e3-83-a9 
¥ê     eaa5      30ea        e3-83-aa 
¥ë     eba5      30eb        e3-83-ab 
¥ì     eca5      30ec        e3-83-ac 
¥í     eda5      30ed        e3-83-ad 
¥î     eea5      30ee        e3-83-ae 
¥ï     efa5      30ef        e3-83-af 
¥ð     f0a5      30f0        e3-83-b0 
¥ñ     f1a5      30f1        e3-83-b1 
¥ò     f2a5      30f2        e3-83-b2 
¥ó     f3a5      30f3        e3-83-b3 
¥ô     f4a5      30f4        e3-83-b4 
¥õ     f5a5      30f5        e3-83-b5 
¥ö     f6a5      30f6        e3-83-b6 
¦¡     a1a6      0391        ce-91 
¦¢     a2a6      0392        ce-92 
¦£     a3a6      0393        ce-93 
¦¤     a4a6      0394        ce-94 
¦¥     a5a6      0395        ce-95 
¦¦     a6a6      0396        ce-96 
¦§     a7a6      0397        ce-97 
¦¨     a8a6      0398        ce-98 
¦©     a9a6      0399        ce-99 
¦ª     aaa6      039a        ce-9a 
¦«     aba6      039b        ce-9b 
¦¬     aca6      039c        ce-9c 
¦­     ada6      039d        ce-9d 
¦®     aea6      039e        ce-9e 
¦¯     afa6      039f        ce-9f 
¦°     b0a6      03a0        ce-a0 
¦±     b1a6      03a1        ce-a1 
¦²     b2a6      03a3        ce-a3 
¦³     b3a6      03a4        ce-a4 
¦´     b4a6      03a5        ce-a5 
¦µ     b5a6      03a6        ce-a6 
¦¶     b6a6      03a7        ce-a7 
¦·     b7a6      03a8        ce-a8 
¦¸     b8a6      03a9        ce-a9 
¦Á     c1a6      03b1        ce-b1 
¦Â     c2a6      03b2        ce-b2 
¦Ã     c3a6      03b3        ce-b3 
¦Ä     c4a6      03b4        ce-b4 
¦Å     c5a6      03b5        ce-b5 
¦Æ     c6a6      03b6        ce-b6 
¦Ç     c7a6      03b7        ce-b7 
¦È     c8a6      03b8        ce-b8 
¦É     c9a6      03b9        ce-b9 
¦Ê     caa6      03ba        ce-ba 
¦Ë     cba6      03bb        ce-bb 
¦Ì     cca6      03bc        ce-bc 
¦Í     cda6      03bd        ce-bd 
¦Î     cea6      03be        ce-be 
¦Ï     cfa6      03bf        ce-bf 
¦Ð     d0a6      03c0        cf-80 
¦Ñ     d1a6      03c1        cf-81 
¦Ò     d2a6      03c3        cf-83 
¦Ó     d3a6      03c4        cf-84 
¦Ô     d4a6      03c5        cf-85 
¦Õ     d5a6      03c6        cf-86 
¦Ö     d6a6      03c7        cf-87 
¦×     d7a6      03c8        cf-88 
¦Ø     d8a6      03c9        cf-89 
¦à     e0a6      fe35         
¦á     e1a6      fe36         
¦â     e2a6      fe39         
¦ã     e3a6      fe3a         
¦ä     e4a6      fe3f         
¦å     e5a6      fe40         
¦æ     e6a6      fe3d         
¦ç     e7a6      fe3e         
¦è     e8a6      fe41         
¦é     e9a6      fe42         
¦ê     eaa6      fe43         
¦ë     eba6      fe44         
¦î     eea6      fe3b         
¦ï     efa6      fe3c         
¦ð     f0a6      fe37         
¦ñ     f1a6      fe38         
¦ò     f2a6      fe31         
¦ô     f4a6      fe33         
¦õ     f5a6      fe34         
§¡     a1a7      0410        d0-90 
§¢     a2a7      0411        d0-91 
§£     a3a7      0412        d0-92 
§¤     a4a7      0413        d0-93 
§¥     a5a7      0414        d0-94 
§¦     a6a7      0415        d0-95 
§§     a7a7      0401        d0-81 
§¨     a8a7      0416        d0-96 
§©     a9a7      0417        d0-97 
§ª     aaa7      0418        d0-98 
§«     aba7      0419        d0-99 
§¬     aca7      041a        d0-9a 
§­     ada7      041b        d0-9b 
§®     aea7      041c        d0-9c 
§¯     afa7      041d        d0-9d 
§°     b0a7      041e        d0-9e 
§±     b1a7      041f        d0-9f 
§²     b2a7      0420        d0-a0 
§³     b3a7      0421        d0-a1 
§´     b4a7      0422        d0-a2 
§µ     b5a7      0423        d0-a3 
§¶     b6a7      0424        d0-a4 
§·     b7a7      0425        d0-a5 
§¸     b8a7      0426        d0-a6 
§¹     b9a7      0427        d0-a7 
§º     baa7      0428        d0-a8 
§»     bba7      0429        d0-a9 
§¼     bca7      042a        d0-aa 
§½     bda7      042b        d0-ab 
§¾     bea7      042c        d0-ac 
§¿     bfa7      042d        d0-ad 
§À     c0a7      042e        d0-ae 
§Á     c1a7      042f        d0-af 
§Ñ     d1a7      0430        d0-b0 
§Ò     d2a7      0431        d0-b1 
§Ó     d3a7      0432        d0-b2 
§Ô     d4a7      0433        d0-b3 
§Õ     d5a7      0434        d0-b4 
§Ö     d6a7      0435        d0-b5 
§×     d7a7      0451        d1-91 
§Ø     d8a7      0436        d0-b6 
§Ù     d9a7      0437        d0-b7 
§Ú     daa7      0438        d0-b8 
§Û     dba7      0439        d0-b9 
§Ü     dca7      043a        d0-ba 
§Ý     dda7      043b        d0-bb 
§Þ     dea7      043c        d0-bc 
§ß     dfa7      043d        d0-bd 
§à     e0a7      043e        d0-be 
§á     e1a7      043f        d0-bf 
§â     e2a7      0440        d1-80 
§ã     e3a7      0441        d1-81 
§ä     e4a7      0442        d1-82 
§å     e5a7      0443        d1-83 
§æ     e6a7      0444        d1-84 
§ç     e7a7      0445        d1-85 
§è     e8a7      0446        d1-86 
§é     e9a7      0447        d1-87 
§ê     eaa7      0448        d1-88 
§ë     eba7      0449        d1-89 
§ì     eca7      044a        d1-8a 
§í     eda7      044b        d1-8b 
§î     eea7      044c        d1-8c 
§ï     efa7      044d        d1-8d 
§ð     f0a7      044e        d1-8e 
§ñ     f1a7      044f        d1-8f 
¨¡     a1a8      0101        c4-81 
¨¢     a2a8      00e1        c3-a1 
¨£     a3a8      01ce        c7-8e 
¨¤     a4a8      00e0        c3-a0 
¨¥     a5a8      0113        c4-93 
¨¦     a6a8      00e9        c3-a9 
¨§     a7a8      011b        c4-9b 
¨¨     a8a8      00e8        c3-a8 
¨©     a9a8      012b        c4-ab 
¨ª     aaa8      00ed        c3-ad 
¨«     aba8      01d0        c7-90 
¨¬     aca8      00ec        c3-ac 
¨­     ada8      014d        c5-8d 
¨®     aea8      00f3        c3-b3 
¨¯     afa8      01d2        c7-92 
¨°     b0a8      00f2        c3-b2 
¨±     b1a8      016b        c5-ab 
¨²     b2a8      00fa        c3-ba 
¨³     b3a8      01d4        c7-94 
¨´     b4a8      00f9        c3-b9 
¨µ     b5a8      01d6        c7-96 
¨¶     b6a8      01d8        c7-98 
¨·     b7a8      01da        c7-9a 
¨¸     b8a8      01dc        c7-9c 
¨¹     b9a8      00fc        c3-bc 
¨º     baa8      00ea        c3-aa 
¨»     bba8      0251         
¨¼     bca8      e7c7         
¨½     bda8      0144         
¨¾     bea8      0148         
¨¿     bfa8      e7c8         
¨À     c0a8      0261         
¨Å     c5a8      3105        e3-84-85 
¨Æ     c6a8      3106        e3-84-86 
¨Ç     c7a8      3107        e3-84-87 
¨È     c8a8      3108        e3-84-88 
¨É     c9a8      3109        e3-84-89 
¨Ê     caa8      310a        e3-84-8a 
¨Ë     cba8      310b        e3-84-8b 
¨Ì     cca8      310c        e3-84-8c 
¨Í     cda8      310d        e3-84-8d 
¨Î     cea8      310e        e3-84-8e 
¨Ï     cfa8      310f        e3-84-8f 
¨Ð     d0a8      3110        e3-84-90 
¨Ñ     d1a8      3111        e3-84-91 
¨Ò     d2a8      3112        e3-84-92 
¨Ó     d3a8      3113        e3-84-93 
¨Ô     d4a8      3114        e3-84-94 
¨Õ     d5a8      3115        e3-84-95 
¨Ö     d6a8      3116        e3-84-96 
¨×     d7a8      3117        e3-84-97 
¨Ø     d8a8      3118        e3-84-98 
¨Ù     d9a8      3119        e3-84-99 
¨Ú     daa8      311a        e3-84-9a 
¨Û     dba8      311b        e3-84-9b 
¨Ü     dca8      311c        e3-84-9c 
¨Ý     dda8      311d        e3-84-9d 
¨Þ     dea8      311e        e3-84-9e 
¨ß     dfa8      311f        e3-84-9f 
¨à     e0a8      3120        e3-84-a0 
¨á     e1a8      3121        e3-84-a1 
¨â     e2a8      3122        e3-84-a2 
¨ã     e3a8      3123        e3-84-a3 
¨ä     e4a8      3124        e3-84-a4 
¨å     e5a8      3125        e3-84-a5 
¨æ     e6a8      3126        e3-84-a6 
¨ç     e7a8      3127        e3-84-a7 
¨è     e8a8      3128        e3-84-a8 
¨é     e9a8      3129        e3-84-a9 
©¤     a4a9      2500        e2-94-80 
©¥     a5a9      2501        e2-94-81 
©¦     a6a9      2502        e2-94-82 
©§     a7a9      2503        e2-94-83 
©¨     a8a9      2504        e2-94-84 
©©     a9a9      2505        e2-94-85 
©ª     aaa9      2506        e2-94-86 
©«     aba9      2507        e2-94-87 
©¬     aca9      2508        e2-94-88 
©­     ada9      2509        e2-94-89 
©®     aea9      250a        e2-94-8a 
©¯     afa9      250b        e2-94-8b 
©°     b0a9      250c        e2-94-8c 
©±     b1a9      250d        e2-94-8d 
©²     b2a9      250e        e2-94-8e 
©³     b3a9      250f        e2-94-8f 
©´     b4a9      2510        e2-94-90 
©µ     b5a9      2511        e2-94-91 
©¶     b6a9      2512        e2-94-92 
©·     b7a9      2513        e2-94-93 
©¸     b8a9      2514        e2-94-94 
©¹     b9a9      2515        e2-94-95 
©º     baa9      2516        e2-94-96 
©»     bba9      2517        e2-94-97 
©¼     bca9      2518        e2-94-98 
©½     bda9      2519        e2-94-99 
©¾     bea9      251a        e2-94-9a 
©¿     bfa9      251b        e2-94-9b 
©À     c0a9      251c        e2-94-9c 
©Á     c1a9      251d        e2-94-9d 
©Â     c2a9      251e        e2-94-9e 
